City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Broken Hill,AU,-31.95,141.4333,80.6,29,0,12.66,clear sky
337,Puerto Suarez,BO,-18.95,-57.8,67.68,73,0,1.59,clear sky
338,Deputatskiy,RU,69.3,139.9,-31.36,85,8,1.34,clear sky
339,Charlottesville,US,38.0293,-78.4767,44.6,45,90,10.36,overcast clouds
340,Mailsi,PK,29.8003,72.1758,77.92,17,0,6.67,clear sky
341,Yerbogachen,RU,61.2767,108.0108,9.27,95,100,10.11,light snow
342,Kahului,US,20.8947,-156.47,71.6,64,40,3.44,scattered clouds
343,Portland,US,45.5234,-122.6762,46.0,91,75,1.99,broken clouds
344,Yemelyanovo,RU,56.1681,92.6767,35.6,64,0,13.42,clear sky
345,Quatre Cocos,MU,-20.2078,57.7625,86.0,66,40,12.66,scattered clouds
346,Qui Nhon,VN,13.7667,109.2333,76.37,75,14,11.68,few clouds
347,Kenmare,IE,51.8833,-9.5833,35.85,90,85,5.35,overcast clouds
